"FedExCupPlayoffsPoints_RANKTHISWEEK_2007","FedExCupPlayoffsPoints_RANKLASTWEEK_2007","FedExCupPlayoffsPoints_PLAYERNAME_2007","FedExCupPlayoffsPoints_EVENTS_2007","FedExCupPlayoffsPoints_POINTS_2007","FedExCupPlayoffsPoints_OFWINS_2007","FedExCupPlayoffsPoints_OFTOP10S_2007","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2007","FedExCupPlayoffsPoints_RESETPOINTS_2007","stat_name","year"
113,113,"JB Holmes",2,87275,NA,NA,35758,87100,"FedExCupPlayoffsPoints",2007
114,114,"Ben Curtis",2,87250,NA,NA,35783,87250,"FedExCupPlayoffsPoints",2007
115,115,"Daniel Chopra",2,87050,NA,NA,35983,86950,"FedExCupPlayoffsPoints",2007
116,116,"Brett Quigley",2,87000,NA,NA,36033,86650,"FedExCupPlayoffsPoints",2007
117,117,"DJ Trahan",2,86983,NA,NA,36050,86875,"FedExCupPlayoffsPoints",2007
118,118,"JP Hayes",2,86839,NA,NA,36194,86725,"FedExCupPlayoffsPoints",2007
119,119,"Harrison Frazar",2,86800,NA,NA,36233,86800,"FedExCupPlayoffsPoints",2007
120,120,"Doug LaBelle II",2,86732,NA,NA,36301,86425,"FedExCupPlayoffsPoints",2007
121,121,"Steve Allan",1,86575,NA,NA,36458,86575,"FedExCupPlayoffsPoints",2007
122,122,"Mathew Goggin",1,86500,NA,NA,36533,86500,"FedExCupPlayoffsPoints",2007
123,123,"Joe Durant",1,86383,NA,NA,36650,86275,"FedExCupPlayoffsPoints",2007
124,124,"Alex Cejka",1,86350,NA,NA,36683,86350,"FedExCupPlayoffsPoints",2007
125,125,"Bob Heintz",1,86325,NA,NA,36708,85600,"FedExCupPlayoffsPoints",2007
126,126,"Bill Haas",1,86251,NA,NA,36782,86125,"FedExCupPlayoffsPoints",2007
127,127,"Jason Dufner",1,86250,NA,NA,36783,85900,"FedExCupPlayoffsPoints",2007
128,128,"Ryan Armour",1,86215,NA,NA,36818,85675,"FedExCupPlayoffsPoints",2007
129,129,"John Merrick",1,86200,NA,NA,36833,86200,"FedExCupPlayoffsPoints",2007
130,130,"Johnson Wagner",1,86079,NA,NA,36954,85975,"FedExCupPlayoffsPoints",2007
131,131,"Jason Bohn",0,86050,NA,NA,36983,86050,"FedExCupPlayoffsPoints",2007
132,132,"Frank Lickliter II",1,86000,NA,NA,37033,85825,"FedExCupPlayoffsPoints",2007
133,133,"Gavin Coles",1,85750,NA,NA,37283,85750,"FedExCupPlayoffsPoints",2007
134,134,"Ryan Palmer",0,85525,NA,NA,37508,85525,"FedExCupPlayoffsPoints",2007
135,135,"Tripp Isenhour",1,85375,NA,NA,37658,85375,"FedExCupPlayoffsPoints",2007
136,136,"Billy Andrade",1,85300,NA,NA,37733,85300,"FedExCupPlayoffsPoints",2007
137,137,"Anders Hansen",1,85225,NA,NA,37808,85225,"FedExCupPlayoffsPoints",2007
138,138,"Corey Pavin",1,85189,NA,NA,37844,85075,"FedExCupPlayoffsPoints",2007
139,139,"Jesper Parnevik",1,85150,NA,NA,37883,85150,"FedExCupPlayoffsPoints",2007
140,140,"Shigeki Maruyama",1,85000,NA,NA,38033,85000,"FedExCupPlayoffsPoints",2007
141,141,"Michael Putnam",1,84925,NA,NA,38108,84925,"FedExCupPlayoffsPoints",2007
142,142,"Andrew Buckle",1,84879,NA,NA,38154,84775,"FedExCupPlayoffsPoints",2007
143,143,"Bob Tway",1,84850,NA,NA,38183,84850,"FedExCupPlayoffsPoints",2007
144,144,"Jeff Gove",1,84700,NA,NA,38333,84700,"FedExCupPlayoffsPoints",2007
