"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2013","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2013","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2013","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2013","ofPotentialPtswonFedExCupPlayoffs_Pct_2013","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2013","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2013","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2013","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2013","stat_name","year"
25,25,"Daniel Summerhays",26,9.5,713,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
26,26,"Rory Sabbatini",27,9.03,678,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
27,27,"John Huh",28,8.23,618,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
28,28,"Brian Davis",28,8.03,603,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
29,29,"Kevin Streelman",25,7.95,795,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
30,30,"Dustin Johnson",22,7.93,793,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
31,31,"Matt Jones",24,7.77,583,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
32,32,"Brandt Snedeker",23,7.6,760,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
33,33,"DA Points",28,7.48,748,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
34,34,"Matt Every",28,7.37,553,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
35,35,"Kevin Chappell",24,7.3,548,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
36,36,"Bubba Watson",21,7.13,535,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
37,37,"Ryan Moore",22,7.09,532,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
38,38,"Billy Horschel",26,6.97,697,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
39,39,"Rickie Fowler",22,6.83,513,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
40,40,"Chris Kirk",24,6.6,495,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
41,41,"Jason Kokrak",25,6.56,492,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
42,42,"Bill Haas",25,6.5,650,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
42,42,"David Lynn",22,6.5,488,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
42,42,"Ian Poulter",16,6.5,488,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
45,45,"Bryce Molder",24,6.33,475,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
46,46,"Nicholas Thompson",29,6.1,458,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
47,47,"Chris Stroud",26,5.93,445,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
48,48,"Lee Westwood",19,5.8,435,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
49,49,"Marc Leishman",23,5.63,422,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
49,49,"John Merrick",23,5.63,423,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
51,51,"Scott Piercy",24,5.61,421,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
52,52,"Rory McIlroy",16,5.5,413,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
53,53,"Charles Howell III",26,5.37,403,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
54,54,"Jimmy Walker",24,5.23,393,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
55,55,"Boo Weekley",27,5.1,510,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
56,56,"David Hearn",26,5.03,377,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
57,57,"Aaron Baddeley",24,5,125,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
57,57,"George McNeill",21,5,125,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
59,59,"Camilo Villegas",23,4.9,245,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
60,60,"Brian Gay",24,4.73,355,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
61,61,"Ernie Els",19,4.63,348,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
62,62,"Stewart Cink",22,4.3,215,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
63,63,"Harris English",26,4.1,308,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
63,63,"Martin Kaymer",17,4.1,205,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
65,65,"Brendan Steele",26,4.03,303,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
66,66,"Stuart Appleby",25,3.5,175,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
67,67,"Bob Estes",18,3.3,165,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
68,68,"Greg Chalmers",25,3.25,163,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
68,68,"Freddie Jacobson",19,3.25,163,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
70,70,"Carl Pettersson",24,3.1,78,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
71,71,"KJ Choi",24,3,150,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
72,72,"Jonas Blixt",24,2.97,223,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
72,72,"Charley Hoffman",23,2.97,223,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
74,74,"Russell Henley",24,2.53,190,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
75,75,"Erik Compton",24,2.5,125,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
76,76,"Graeme McDowell",16,2.33,175,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
76,76,"Scott Stallings",27,2.33,175,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
78,78,"Justin Leonard",24,2.15,108,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
79,79,"Kyle Stanley",24,1.95,98,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
80,80,"Angel Cabrera",21,1.73,129,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
81,81,"Scott Langley",27,1.6,40,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
81,81,"John Senden",25,1.6,40,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
83,83,"Martin Flores",25,1.55,78,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
84,84,"Michael Thompson",22,1.47,110,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
85,85,"Cameron Tringale",24,1.45,73,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
86,86,"Jerry Kelly",22,1.4,70,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
86,86,"Bo Van Pelt",22,1.4,70,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
88,88,"Geoff Ogilvy",19,1.2,30,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
89,89,"Sangmoon Bae",26,1.07,80,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
90,90,"Jeff Overton",24,0.9,23,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
91,91,"Josh Teater",24,0.89,45,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
92,92,"Patrick Reed",26,0.83,62,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
93,93,"Scott Brown",21,0.8,40,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
94,94,"Ryan Palmer",22,0.45,23,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
95,95,"Ken Duke",28,0.37,28,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
96,96,"Brian Stuard",25,0.3,15,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
97,97,"Pat Perez",22,0.1,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
98,98,"Martin Laird",21,0.09,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
98,98,"Richard Lee",24,0.09,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
