"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2011","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2011","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2011","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2011","ofPotentialPtswonFedExCupPlayoffs_Pct_2011","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2011","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2011","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2011","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2011","stat_name","year"
81,81,"George McNeill",21,2.6,195,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
82,82,"John Merrick",21,2.4,120,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
82,82,"Charlie Wi",25,2.4,120,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
84,84,"Scott Stallings",28,1.77,133,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
85,85,"Ryuji Imada",29,1.75,88,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
86,86,"Bryce Molder",27,1.2,30,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
86,86,"Kevin Stadler",27,1.2,30,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
88,88,"Robert Garrigus",26,1.15,58,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
89,89,"DA Points",26,1.13,85,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
90,90,"Kris Blanks",29,1.05,53,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
90,90,"Harrison Frazar",19,1.05,53,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
92,92,"Ben Crane",23,0.7,35,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
92,92,"Pat Perez",24,0.7,35,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
94,94,"David Hearn",26,0.6,15,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
94,94,"Joe Ogilvie",24,0.6,15,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
96,96,"Retief Goosen",16,0.19,5,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
97,97,"Davis Love III",22,0.16,8,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
97,97,"Jeff Overton",26,0.16,8,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
97,97,"John Rollins",27,0.16,8,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
100,100,"Tommy Gainey",34,0.13,10,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
101,101,"Ricky Barnes",23,0.09,4,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
101,101,"Troy Matteson",28,0.09,4,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2011
