"NonmemberEarnings_RANKTHISWEEK_2014","NonmemberEarnings_RANKLASTWEEK_2014","NonmemberEarnings_PLAYERNAME_2014","NonmemberEarnings_EVENTS_2014","NonmemberEarnings_MONEY_2014","NonmemberEarnings_TOTAL_2014","stat_name","year"
65,65,"Rhein Gibson",1,20844,20844,"NonmemberEarnings",2014
66,66,"Clayton Rask",1,20775,20775,"NonmemberEarnings",2014
67,67,"Bobby Wyatt",5,20405,20405,"NonmemberEarnings",2014
68,68,"Toru Taniguchi",1,19980,19980,"NonmemberEarnings",2014
69,69,"Kevin Penner",1,19800,19800,"NonmemberEarnings",2014
70,70,"Sam Saunders",1,18476,18476,"NonmemberEarnings",2014
71,71,"Berry Henson",1,18223,18223,"NonmemberEarnings",2014
72,72,"Colin Montgomerie",1,18033,18033,"NonmemberEarnings",2014
73,73,"Nicholas Fung",1,14980,14980,"NonmemberEarnings",2014
74,74,"Oscar Fraustro",1,14660,14660,"NonmemberEarnings",2014
75,75,"Chris Thompson",2,14559,14559,"NonmemberEarnings",2014
76,76,"Wade Ormsby",1,14070,14070,"NonmemberEarnings",2014
77,77,"Josh Broadaway",1,13671,13671,"NonmemberEarnings",2014
78,78,"Jeff Curl",2,13440,13440,"NonmemberEarnings",2014
79,79,"Derek Fathauer",1,13320,13320,"NonmemberEarnings",2014
80,80,"Rashid Ismail",1,13230,13230,"NonmemberEarnings",2014
81,81,"Harold Varner III",2,13199,13199,"NonmemberEarnings",2014
82,82,"Chris Williams",4,13176,13176,"NonmemberEarnings",2014
83,83,"Joel Dahmen",1,13034,13034,"NonmemberEarnings",2014
83,83,"Adam Hadwin",1,13034,13034,"NonmemberEarnings",2014
85,85,"Seukhyun Baek",2,12950,54700,"NonmemberEarnings",2014
86,86,"Carlos Ortiz",1,12834,12834,"NonmemberEarnings",2014
87,87,"Kyle Reifers",2,12300,12300,"NonmemberEarnings",2014
88,88,"Bubba Dickerson",2,12224,12224,"NonmemberEarnings",2014
89,89,"Thomas Aiken",3,11286,11286,"NonmemberEarnings",2014
90,90,"Ryan Sullivan",1,11223,11223,"NonmemberEarnings",2014
91,91,"Derek Tolan",1,11144,11144,"NonmemberEarnings",2014
92,92,"Michael Block",2,10736,10736,"NonmemberEarnings",2014
93,93,"Toshinori Muto",1,10696,10696,"NonmemberEarnings",2014
94,94,"Eric Dugas",1,10304,10304,"NonmemberEarnings",2014
95,95,"Mark Hubbard",1,10100,10100,"NonmemberEarnings",2014
96,96,"Kevin Lucas",1,7810,7810,"NonmemberEarnings",2014
